topic_id,label,total_books_with_topic,n_authors,top_author,top_author_count,top_author_share,top2_author_share,is_author_driven,top_author_tier_concentration,author_dominance_flag,cliffs_top_trash,top_median,trash_median,prevalence
110,Intense Listening Conversation,47,27,Annika_Martin,3,0.06382978723404255,0.1276595744680851,False,0.0,low,0.1511111111111111,0.0010760097229265903,0.000964359621524137,0.5108695652173914
111,Nightmare Confessions,79,32,Alexa_Riley,3,0.0379746835443038,0.0759493670886076,False,0.0,low,-0.12666666666666668,0.0014803105805257036,0.001582988530233925,0.8586956521739131
112,Snowy Winter Walk,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.18222222222222223,0.0021496727969705764,0.0019701246045124464,1.0
113,Sister's Drug Struggle,22,10,Annika_Martin,3,0.13636363636363635,0.2727272727272727,False,0.0,low,0.19333333333333333,0.0007874465150485743,0.0007119063520893876,0.2391304347826087
114,Reluctant Relationship Choices,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.13333333333333333,0.005586791813109067,0.005116158670159099,1.0
115,Golfing Couple's Weekend,55,29,Tia_Louise,3,0.05454545454545454,0.10909090909090909,False,0.0,low,0.13555555555555557,0.0010650609171404565,0.0010400851743003516,0.5978260869565217
116,Important Conversation,91,33,Alexa_Riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,0.24,0.002967680501399326,0.0025016966394425834,0.9891304347826086
117,Constant Hate And Dislike,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.11555555555555555,0.0027160622979599857,0.002547818778423754,1.0
118,Boardroom Negotiation,9,7,Katy_Evans,2,0.2222222222222222,0.4444444444444444,False,0.0,low,0.15333333333333332,0.0007825241763469966,0.0007420923110773401,0.09782608695652174
119,Whispered Secrets Between Lovers,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.19555555555555557,0.001733287925402014,0.0008714564022817283,0.5163043478260869
121,Convenient Travel Options,89,33,Alexa_Riley,3,0.033707865168539325,0.06741573033707865,False,0.0,low,0.015555555555555555,0.00190720973969576,0.0020021823471267947,0.967391304347826
122,Serious Conversation About Relationship,2,1,Sam_Crescent,2,1.0,1.0,True,1.0,high,0.2822222222222222,0.0004836688783487258,0.0004340376427462764,0.021739130434782608
123,Police Involvement,91,33,Alexa_Riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,0.2688888888888889,0.0031005108388473977,0.0026415579866157766,0.9891304347826086
124,Engagement Surprise,3,2,Ana_Huang,2,0.6666666666666666,1.0,True,0.5,high,0.5733333333333334,0.0004000844926276007,0.0003139085377157517,0.03260869565217391
